opinion	question	dataset
0	who was the first joseph in joseph and the technicolor dreamcoat	g
0	who was the first living indian to feature of postage stamp of india	g
0	who was the first man to travel in space	g
0	who was the first man who climbed mount everest	g
0	who was the first official president of the united states	g
0	who was the first one to win american idol	g
0	who was the first patient to have an islet cell transplant for diabetes	g
0	who was the first person found not guilty by reason of insanity	g
0	who was the first person rogue used her powers on	g
0	who was the first person that played batman	g
0	who was the first person to be baptized in the bible	g
0	who was the first person to be inducted into the rock and roll hall of fame	g
1	who was the first person to ever get arrested	g
0	who was the first person to have raised the indian flag on foreign soil and where	g
0	who was the first person who invented microscope	g
0	who was the first player in bb history to return to the game after being evicted	g
0	who was the first president to be awarded the nobel peace prize	g
0	who was the first president to call his residence the white house	g
0	who was the first serial killer in america	g
0	who was the first to be known for using methods of nonviolent civil disobedience in protest	g
0	who was the first woman elected to the accounting hall of fame	g
0	who was the first woman elected to the us senate	g
0	who were the first european settlers in the west	g
0	who were the first to use poison gas in warfare	g
0	who won the first battle of the civil war	g
0	who won the first gold medal in commonwealth game 2018	g
0	'who won the first men''s ncaa tournament'	g
0	who won the first nobel prize for chemistry	g
0	who won the first world cup and when	g
0	who won the first world series of poker at binions	g
0	who is the first and only indian to be appointed as governor general of india	g
0	What are the four most recent movies directed by clint eastwood to have hit the big screen	g
0	who has the fourth largest standing military on planet earth	g
0	what land mammal holds the record for the greatest age	g
1	what was probably the greatest factor in americas entrance into the war	g
0	where does the greatest amount of cylinder wear occur	g
0	who was known as the greatest writer of latin prose	g
0	What is the highest classification category in the linnaean system	g
0	what country has the highest gross domestic product	g
0	who is the last player to go from highschool to the nba	g
0	what is the highest elevation town in colorado	g
0	what is the highest mountain in europe called	g
0	what is the highest point in chester county pa	g
0	what is the highest score in a soccer world cup final	g
0	what is the highest security prison in the uk	g
0	what is the highest seed to play in ncaa championship	g
0	what is the name of the highest summit nilgiri hills	g
0	where is the highest level of fluoride stored in the teeth	g
0	which club is the highest champions league winner	g
0	which us state has the highest sales tax	g
0	who has sold the highest number of albums	g
0	who has the highest fg percentage in the nba	g
0	who has the highest sales tax in the united states	g
0	who has the highest tides in the world	g
0	who is currently the highest ranking military officer	g
0	who is the highest goal scorer in the epl	g
0	who is the highest paid athlete in the mlb	g
0	who is the highest paid major league baseball player today	g
0	who was the highest paid actor in 1971	g
0	'who''s the highest-paid basketball player in the nba'	g
0	what is the hottest place in death valley	g
0	what is the hottest temperature ever recorded in michigan	g
0	what is the hottest temperature ever recorded in new zealand	g
0	where is the hottest summer in the world	g
1	which is the instant messenger that is used for chatting	g
0	is hong kong the largest city in the world	g
0	What is the largest single component of the united states current account	g
0	what country has the largest economy in africa	g
0	what is the largest city by area in the world	g
0	what is the largest national park in australia	g
0	what is the largest of the seven sister states of northeast india	g
0	what is the largest private company in the us	g
0	where did the largest nuclear accident take place	g
0	where do the largest concentrations of asian and pacific islanders live in the united states	g
0	where is the largest groundhog day celebration held in the us	g
0	which are the largest cities in the us	g
0	which area of the body had the largest receptive field	g
0	'which gases make up the largest percentage of earth''s atmosphere'	g
0	which is the largest forest state in india	g
0	which is the largest great lake in north america	g
0	which is the largest zone of indian railway	g
0	which of the three west african kingdoms was the largest	g
0	which state has the largest number of seats in lok sabha	g
0	who has the largest submarine fleet in the world	g
0	who is the largest producer of mica in world	g
0	what are the different types of sae in ffa	g
0	what is the last state to be founded in america	g
0	when was the last time australia had a hurricane	g
0	who was the last governor in the united states to be impeached	g
0	who was the last person on the moon	g
0	who was the last person to be hanged in england	g
0	who was the last person voted out of australian survivor	g
0	who was the last prisoner to leave alcatraz	g
0	who was the last surviving signer of the declaration of independence	g
0	who was the last us president to be assassinated	g
0	what is the latest release of internet explorer	g
0	what is the latest version of visual basic .net	g
0	which is the leading coffee producer state in india	g
0	where is the least populated place in england	g
0	which medium stores the least amount of information	g
0	who had the least amount of solos in debut album up all night	g
1	who has the least direct influence on the development of roman culture	g
0	how long is the longest neuron in the human body and where is it located	g
0	what is the longest running scripted primetime tv show	g
0	what is the longest sniper shot in us history	g
0	what is the longest town name in the united states	g
0	where was the longest war between pandav and kaurav held	g
0	which is the longest mountain range in india	g
0	who has the longest touchdown pass in nfl history	g
0	who is the longest running character on general hospital	g
0	who is the longest serving doctor who companion	g
0	who is the longest serving member of the house in history	g
0	who is the longest serving mp in the uk	g
0	who lasted the longest on alone season 2	g
0	who served the longest term as president of the united states	g
0	who was the longest ruling non-royal head of state post-1900	g
0	who was the longest running prime minister of canada	g
0	which legislature is the lower chamber to the senate	g
0	what are the basic needs at the lowest level of maslow motivational hierarchy	g
0	what city has the lowest elevation in colorado	g
0	which province in canada has the lowest tax	g
0	who is the lowest paid player in the nhl	g
0	what is the main agricultural product of the golden triangle	g
0	what was the main cause of the declaration of independence	g
0	what is the main rule difference between paralympic luge versus olympic luge	g
0	What was the major spacecraft launching centre in south america	g
0	what is the major cause of french revolution	g
1	who plays the major role in enforcing the federal fair housing act	g
0	who were the major colonial powers involved in caribbean culture	g
0	during which step of cellular respiration is the majority of atp formed	g
0	which party is the majority party in the senate in nigeria	g
0	what is the maximum temperature can be measured using platinum tungsten thermometer	g
0	which indian state has the maximum number of lok sabha constituency	g
0	what is the meaning of fiction and non fiction	g
0	after hindi which is the most spoken language in india	g
0	What would be the most obvious difference between the human brain and the brain of a fish	g
0	What was the most prominent early ceremonial center of the maya	g
0	What is the most recent addition to the texas bill of rights	g
0	'was the most famous female orator of the farmer''s alliance and populist party in the late 1800s'	g
0	what are the most important characteristics of a drug	g
0	what contestant won the most money on jeopardy	g
0	what country in east asia has the most urbanized population	g
0	what is the most abundant type of cell in the nervous system	g
0	what is the most common bible translation in english	g
0	what is the most common cause of depurination	g
0	what is the most common filipino last name	g
0	'what is the most current season of grey''s anatomy'	g
0	what is the most current version of flash	g
0	what is the most disliked song on youtube	g
1	what is the most famous sport in mexico	g
0	what is the most important gas in the greenhouse effect	g
1	what is the most important night of hanukkah	g
0	what is the most landlocked place in england	g
0	what is the most northern landform region in canada	g
1	what is the most popular beer in australia	g
1	what is the most popular food in romania	g
0	what is the most popular language in america	g
0	what is the most popular name in asia	g
0	what is the most popular religion in uk	g
0	what is the most recent version of the bible	g
0	what is the most spoken language in mexico	g
0	what is the most up to date android platform	g
0	when has the unemployment rate been the highest	g
0	what is the most used letter in the english alphabet	g
0	what languages are spoken in india the most	g
1	what mlb team has the most perfect games	g
0	what player in the nfl has the most rings	g
0	what quarterback has the most wins in nfl history	g
0	what state has the most airports in the us	g
0	what tissue contains the most amount of extracellular matrix (ecm)	g
0	'what''s the most money made on bargain hunt'	g
1	What’s the most common age to get married	g
0	where are the most highly productive tropical marine ecosystems found	g
0	where are the most hops grown in the world	g
0	where did hurricane andrew do the most damage	g
0	where is the most population of russia found	g
0	where is the most poverty in the uk	g
0	where is the most tobacco grown in the us	g
0	which country has the most number of satellites	g
0	which country has the most total olympic medals	g
0	which country lost the most amount of colonial possessions in north and south america by 1914	g
0	which hawaiian island shows the most volcanic activity	g
0	which indian actor has won the most national awards	g
0	which indian state shares its boundary with the most number of states or union territories	g
1	which is considered the most powerful interest group in the u.s	g
1	which is the most important organ of the uno	g
0	which mlb team scored the most runs in a game	g
0	which nba player has the most playoff points	g
0	which one is the most common cause of sunburn	g
0	which team has won the most nba titles	g
0	which time period saw the most immigrants come to the united states	g
0	who are the most supported football clubs in the world	g
0	who chairs the cabinet meetings who is the most powerful within the cabinet	g
0	who consumes the most oil in the world	g
1	who did the stock market crash affect the most	g
0	who gets the most punishments on impractical jokers	g
0	who gives the most to charity in the world	g
0	who got the most clean sheets in the premier league 2016/17	g
0	who got the most gold medals this year	g
0	who got the most land in the berlin conference	g
0	who had the most followers on instagram 2017	g
0	who had the most points in an nba game	g
0	who had the most rbi in 2011 regular season	g
0	who had the most top 40 hits in the 60s	g
0	who has been on the ellen show the most times	g
0	who has been to the most world cup finals	g
0	who has calculated the most digits of pi	g
0	who has conceded the most goals in the premiership	g
0	who has had the most top 10 hits	g
0	who has run for president the most times	g
0	who has scored the most points in the nba in a game	g
0	who has scored the most points in the ryder cup	g
0	who has scored the most runs in mlb history	g
0	who has sold the most books in the world	g
0	'who won the ballon d''or the most times'	g
0	who has sold the most hip hop albums	g
0	who has sold the most hip hop albums of all time	g
0	who has taken the most wickets in test cricket	g
0	who has the most 40 point games in the nba playoffs	g
0	'who has the most aces in women''s tennis'	g
0	who has the most all ireland hurling titles	g
0	who has the most championship belts in wwe	g
0	who has the most championships in the nba	g
0	who has the most elimination wins in challenge history	g
0	who has the most followers on twitter in india	g
0	'who has the most goals in us women''s soccer'	g
0	who has the most goals messi or ronaldo	g
0	who has the most grand slam tennis wins	g
0	who has the most grand slam victories in tennis	g
0	who has the most grand slams this year	g
0	who has the most home runs as a rookie ever	g
0	who has the most home runs in the home run derby	g
0	who has the most liked video on youtube	g
0	'who has the most majors in men''s tennis'	g
0	'who has the most medals in this year''s winter olympics'	g
0	who has the most money in the united states of america	g
0	who has the most money on shark tank australia	g
0	who has the most money out of xscape	g
0	who has the most national goals in soccer	g
0	who has the most ncaa national championships in football	g
0	who has the most number of followers in instagram	g
0	who has the most pga tour wins in a season	g
0	who has the most points in nba finals history	g
0	who has the most points in nba playoff history	g
1	who has the most political power in the us	g
0	who has the most population in the united states	g
0	who has the most record sales of all time	g
0	who has the most slam dunk contest wins	g
0	who has the most soccer goals in history	g
0	who has the most superbowl in the nfl	g
0	who has the most tweets on twitter 2018	g
0	who has the most undefeated record in boxing	g
0	what are the different cardiac biomarkers in heart disease	g
0	who has the most wins between ohio state and michigan	g
0	who has the most wins in super bowl history	g
0	who has the most wins on dude perfect	g
0	who has the most wins on the pga tour	g
0	'who has the most women''s ncaa basketball championships'	g
0	who has the most yards per carry in nfl history	g
0	who has won the most academy awards for best actress	g
0	who has won the most champions leagues player	g
0	who has won the most dude perfect battles	g
0	who has won the most eurovision song contests	g
0	who has won the most french open tennis titles	g
0	who has won the most games between real madrid and barcelona	g
0	who has won the most gold medals at one olympics	g
0	who has won the most major golf titles	g
0	who has won the most number of cy young awards in major league baseball	g
0	who has won the most olympic medals this year	g
0	who has won the most oscars for costume design	g
0	who has won the most tennis matches in history	g
0	who has won the most trophies in european football	g
0	who has won the most wimbledon singles titles	g
0	'who has won the most wimbledon women''s titles'	g
0	who has won the scottish cup the most	g
0	'who has written the most children''s books'	g
0	who have the most goals in la liga 2018	g
0	who hit the most home runs in major league baseball in 2002	g
0	who holds the record for speaking the most languages	g
0	who holds the record for the most number one hits	g
1	who is considered to the most significant influence on nearly every contemporary art movement	g
0	who is one of the most widely performed living american composers	g
0	who is the most followed person on instgram	g
1	who is the most highly decorated soldier in us history	g
0	who is the most mentioned prophet in quran	g
0	who is the most widely published author of all time	g
0	who is the person who has the most subscribers on youtube	g
0	who is worth the most in the united states	g
0	who made the most money out of friends	g
0	who makes the most money on married to medicine	g
0	who produces the most cotton in the world	g
0	who score the most goal in world cup	g
0	who scored the most premier league goals in a season	g
0	who scored the most t20 runs in 2017	g
0	who sold the most records elvis or the beatles	g
0	who stole the most bases in major league baseball	g
0	who was the most decorated soldier of ww2	g
0	who was the most popular president of the united states	g
0	who were the most powerful elected officials in rome	g
1	who will typically have the most decision-making ability in this relationship	g
0	who wins the most medals at the winter olympics	g
0	who won the most filmfare award for best actor	g
0	who won the most medals in the olympics	g
0	who won the most olympic medals in history	g
0	'who''s won the snooker world championship the most'	g
1	what is the number one state for education	g
0	what is the number one watched disney movie	g
0	who is the number one ranked golfer in the world right now	g
0	what are the oldest cities in the us	g
0	what is the oldest age to get wisdom teeth	g
0	what is the oldest book still in existence	g
0	what is the oldest canal in the uk	g
0	what is the oldest civilization in north america	g
0	what is the oldest event in winter olympics	g
0	where is the oldest bristlecone pine tree located	g
0	who is the oldest assistant coach in the nfl	g
0	who is the oldest golden girl in real life	g
0	who is the oldest in why dont we	g
0	who is the oldest man on earth and how old is he	g
0	who was the oldest cast member in grease	g
0	who was the oldest person to die on the titanic	g
0	who was the oldest supreme court justice ever	g
0	what are the primary types of agriculture that dominate china	g
0	what was the primary export product of eastern europe to west	g
1	what is the purest form of the bible	g
0	what is the rainiest state in the usa	g
0	what is the rank of india in economic growth	g
0	who was the richest man ever elected president	g
0	are anglican and church of england the same	g
0	are pumas cougars and mountain lions the same animal	g
0	do ac milan and inter milan share the same stadium	g
0	is atlantic time the same as eastern time	g
0	who is the number 1 selling female artist of all time	g
0	is attack on titan manga the same as the anime	g
0	is den haag the same as the hague	g
0	is north korea and south korean language the same	g
0	is saigon the same as ho chi minh	g
0	is slow release the same as extended release	g
0	is the antarctic ocean the same as the southern ocean	g
0	is the color ivory the same as white	g
0	where is windsor castle compared to kensington palace	g
0	is the federal court the same as the supreme court	g
0	is the monseigneur and the marquis the same person	g
0	is time warner the same as time warner cable	g
0	when is an interest group the same as a faction and when is it different	g
0	who has had the shortest reign of the nine irish presidents to date	g
0	what is the similarity between digestion and decomposition	g
0	where do we have the smallest bone in our body	g
0	which is the smallest state of india by population	g
0	what is the strongest hurricane to make landfall	g
0	what is the tallest tower in the uk	g
0	'what''s the tallest building in washington dc'	g
0	who is the top selling female artist of all time	g
0	what are the two tallest buildings in the world how tall (in feet) are they	g
0	where are most of the follicles in a human ovary located	g
0	'what''s the worst record in mlb history'	g
1	who has the worst team in the nba	g
0	Who was the youngest person to win olympic gold medal	g
0	who is the youngest coach in the nfl	g
0	who is the youngest person on the supreme court	g
0	who is the youngest player to have scored a goal in the fifa world cup	g
0	who is the youngest us president elected to the office	g
0	who was the youngest person to be elected president of the indian national congress	g
0	who was the youngest person to fly around the world	g
0	who was the youngest when they became the full-time host of the tonight show	g
0	Who is the only player to win silverware at liverpool and manchester united	g
0	What are the top scorer in la liga in one season	g
0	What are the top 10 goal scorers of the premier league	g
0	What are the top 10 states of india by population 2018	g
0	What are the top ten causes of death that has no preventative or curative options	g
1	Which is better windows 10 enterprise vs windows 10 enterprise n	g
0	where does india stand in education in the world	g
0	who won the match between csk and sunrisers hyderabad	g
0	where was worst hit by boxing day tsunami	g
0	when is best time to buy airline tickets	m
0	what is the fat what is the fastest car in the whole wide wide world	m
1	what is a disadvantage of using renewable energy resources	m
1	what is benefits biotin hair skin vitamins for body	m
1	What is the best age to neuter male dog	m
1	what is best grass for cattle	m
0	what vitamin is best for skin elasticity	m
0	what are the different kinds of police officers	m
1	why is concrete best for skateparks	m
1	which are best days to buy cheap air tickets	m
1	what is the best way to clean paint brushes	m
1	which is best treatment for hypothyroidism	m
1	what is better mig or tig welding	m
1	are gaming keyboards better than regular keyboards	m
1	is cuba health care better	m
1	is it better to have your kids be oldest or youngest in class?	m
0	what are the benefits for business owners	m
0	what muscles makes your torso look bigger	m
0	what are the different types of banking institutions	m
0	which is bigger bacteria or mitochondria	m
0	what is bigger bits or giga	m
0	what are the benefits of niacin taking it orally for the skin?	m
0	what airport is close to cape cod	m
0	what are different id in canada immigration	m
0	which is closest to earth	m
0	what part of the pa turnpike is closest to gettysburg pa	m
0	what airport is closest to cary nc	m
0	what do melanesia micronesia and polynesia have in common	m
0	what are some common ways to relieve stress	m
0	what are some common causes of conjunctivitis	m
